Date,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,DOT-USD,ETH-USD,HBAR-USD,LEO-USD,LINK-USD,LTC-USD,OM-USD,PI-USD,SHIB-USD,SOL-USD,STETH-USD,TON-USD,TRX-USD,USDC-USD,USDT-USD,WBTC-USD,WETH-USD,WSTETH-USD,XLM-USD,XRP-USD
2024-03-06,0.7338209748268127,41.51433563232422,415.1284484863281,429.011962890625,66106.8046875,0.15779100358486176,10.514226913452148,3819.226318359375,0.12581799924373627,5.4823431968688965,20.075965881347656,85.82997131347656,0.3120819926261902,0.005098999943584204,3.300000025774352e-05,130.7420196533203,3819.76318359375,2.883855104446411,0.13776299357414246,0.999800980091095,1.000445008277893,66224.5625,3821.368408203125,4425.8564453125,0.13816000521183014,0.6122530102729797
2024-03-07,0.7447419762611389,43.29000473022461,432.400634765625,475.2906494140625,66925.484375,0.1581210047006607,10.422065734863281,3874.34765625,0.1339469999074936,5.477116107940674,20.127426147460938,88.10804748535156,0.30545100569725037,0.005009999964386225,3.199999991920777e-05,143.9778594970703,3864.725341796875,2.9566309452056885,0.13732199370861053,0.9997079968452454,1.0014009475708008,67171.3046875,3868.1337890625,4476.52880859375,0.14219099283218384,0.6286240220069885
2024-03-08,0.7248539924621582,42.74036407470703,437.76837158203125,488.09417724609375,68300.09375,0.16534699499607086,10.665131568908691,3892.06103515625,0.1307159960269928,5.8034539222717285,19.741352081298828,88.63076782226562,0.3014799952507019,0.005319000221788883,3.5000000934815034e-05,145.2400360107422,3893.188232421875,3.039876937866211,0.13694800436496735,0.9998970031738281,1.0021899938583374,68370.421875,3899.1923828125,4522.48291015625,0.14196999371051788,0.6219549775123596
2024-03-09,0.7437130212783813,43.000335693359375,433.648193359375,489.56182861328125,68498.8828125,0.17908300459384918,10.522542953491211,3915.4189453125,0.1307629942893982,5.627010822296143,20.028526306152344,90.8468017578125,0.30471500754356384,0.005377000197768211,3.5000000934815034e-05,144.6072540283203,3911.353759765625,3.0337440967559814,0.13608300685882568,1.000038981437683,1.0021530389785767,68471.390625,3912.84619140625,4534.20361328125,0.14252899587154388,0.6218050122261047
2024-03-10,0.7172269821166992,42.052711486816406,423.9754333496094,529.374755859375,69019.7890625,0.16991999745368958,10.278813362121582,3881.193115234375,0.12593799829483032,5.673876762390137,21.75461196899414,87.50755310058594,0.30382800102233887,0.00459099980071187,3.300000025774352e-05,144.5151824951172,3868.163818359375,2.9803380966186523,0.13387900590896606,0.9999949932098389,1.0009939670562744,68991.671875,3875.121337890625,4496.9912109375,0.13984300196170807,0.6084319949150085
2024-03-11,0.7741900086402893,49.007232666015625,448.73834228515625,522.718017578125,72123.90625,0.18196499347686768,11.036376953125,4066.445068359375,0.13268400728702545,5.844484806060791,21.289613723754883,103.7921142578125,0.321942001581192,0.005776999983936548,3.400000059627928e-05,148.75096130371094,4063.708251953125,3.2314939498901367,0.13375499844551086,0.9999570250511169,1.0002750158309937,72213.2109375,4068.146484375,4700.82177734375,0.1569889932870865,0.7180359959602356
2024-03-12,0.7480549812316895,55.59136962890625,434.3209533691406,537.86572265625,71481.2890625,0.16814400255680084,10.726625442504883,3980.273193359375,0.1331769973039627,5.8997979164123535,20.66677474975586,97.53800201416016,0.33430999517440796,0.005344000179320574,3.199999991920777e-05,151.01544189453125,3965.2802734375,3.1816821098327637,0.1314540058374405,0.9999539852142334,1.0000920295715332,71349.40625,3965.1044921875,4593.42431640625,0.1493930071592331,0.6882089972496033
2024-03-13,0.7645800113677979,54.948246002197266,442.5234069824219,630.5613403320312,73083.5,0.1691579967737198,11.32108211517334,4006.45703125,0.13261500000953674,5.9412760734558105,20.7681884765625,97.32198333740234,0.32630500197410583,0.005197000224143267,3.199999991920777e-05,163.83981323242188,3999.393310546875,3.185148000717163,0.13199299573898315,0.9997689723968506,1.0005170106887817,73027.796875,4000.180419921875,4633.53515625,0.15086500346660614,0.6909499764442444
2024-03-14,0.7504739761352539,54.05936813354492,441.2276916503906,602.9887084960938,71396.59375,0.17733000218868256,11.542901992797852,3883.140380859375,0.12697400152683258,5.999156951904297,20.906293869018555,94.11614227294922,0.39246100187301636,0.005413000006228685,3.199999991920777e-05,176.67974853515625,3880.173095703125,3.1193270683288574,0.12911200523376465,0.9999319911003113,0.9996790289878845,71341.953125,3880.93212890625,4485.3271484375,0.1445470005273819,0.669966995716095
2024-03-15,0.7264410257339478,58.48988723754883,416.3032531738281,632.8027954101562,69403.7734375,0.1632310003042221,10.838363647460938,3735.22021484375,0.12026199698448181,6.058913230895996,19.60538673400879,89.71339416503906,0.4333930015563965,0.005282999947667122,2.9999999242136255e-05,182.96469116210938,3720.07080078125,2.963160991668701,0.12637099623680115,1.0000369548797607,1.0001239776611328,69260.4375,3720.863525390625,4292.9306640625,0.1368190050125122,0.6337370276451111
2024-03-16,0.6595349907875061,53.49980545043945,388.6847839355469,576.7752075195312,65315.1171875,0.14236800372600555,9.696842193603516,3522.860107421875,0.1108120009303093,6.073085784912109,18.12628936767578,84.13844299316406,0.4629470109939575,0.005158999934792519,2.499999936844688e-05,181.88034057617188,3516.2783203125,2.7354929447174072,0.1252020001411438,1.000115990638733,0.999243974685669,65346.62109375,3528.661376953125,4085.8154296875,0.129271999001503,0.6030600070953369
