timestamp,bitcoin_price,ethereum_price,tether_price,ripple_price,binancecoin_price,solana_price,usd-coin_price,dogecoin_price,cardano_price,staked-ether_price,tron_price,wrapped-bitcoin_price,wrapped-steth_price,chainlink_price,litecoin_price,avalanche-2_price,sui_price,stellar_price,the-open-network_price,leo-token_price,shiba-inu_price,hedera-hashgraph_price,usds_price,polkadot_price,mantra-dao_price,weth_price,hyperliquid_price,ethena-usde_price,bitcoin-cash_price,wrapped-eeth_price
2024-11-05,67793.0,2395.95,0.999637,0.502874,552.0,157.61,1.0,0.158152,0.325795,2394.87,0.162907,67634.0,2836.47,10.25,65.45,22.71,1.85,0.09111,4.7,6.06,1.681e-05,0.04251931,0.999304,3.75,1.27,2397.4,8.43,1.0,329.12,2521.15
2024-11-09,76550.0,2960.96,1.001,0.554094,598.05,199.83,0.999974,0.202016,0.443895,2962.36,0.161085,76425.0,3512.7,13.73,72.83,28.68,2.29,0.101191,4.93,6.42,1.904e-05,0.05225,0.994901,4.33,1.37,2958.67,8.43,1.001,377.65,3111.34
2024-11-13,88265.0,3260.93,1.002,0.71257,629.14,213.07,1.001,0.386352,0.576112,3255.03,0.188869,87857.0,3864.62,14.07,77.35,34.29,3.24,0.135741,5.5,7.4,2.686e-05,0.065007,0.999351,5.36,1.53,3259.68,8.43,1.002,436.65,3430.47
2024-11-17,90606.0,3133.88,1.001,1.12,622.52,216.05,0.999839,0.364056,0.736958,3129.53,0.200153,90400.0,3727.97,14.52,95.21,35.18,3.76,0.219664,5.64,7.68,2.463e-05,0.091012,0.996196,5.76,2.57,3133.61,8.43,1.002,462.38,3298.1
2024-11-21,94217.0,3075.19,1.002,1.11,607.3,236.04,1.001,0.378826,0.803001,3069.34,0.19528,93967.0,3642.84,14.29,83.75,33.69,3.54,0.24819,5.31,8.39,2.395e-05,0.122423,1.002,5.74,3.83,3077.03,8.43,1.003,441.39,3236.35
2024-11-25,98016.0,3368.7,1.001,1.43,661.69,253.64,1.0,0.429861,1.026,3358.07,0.20927,97652.0,3993.38,18.0,97.18,42.09,3.4,0.538161,6.15,8.55,2.573e-05,0.147292,0.9992,8.83,3.64,3365.9,8.43,1.003,515.51,3551.18
2024-11-29,95662.0,3579.24,1.0,1.53,654.59,237.65,0.9999,0.402174,1.032,3578.79,0.203238,95448.0,4242.73,17.97,95.76,42.91,3.45,0.494595,6.44,8.45,2.551e-05,0.145074,1.001,8.63,3.49,3579.57,8.43,1.001,512.14,3769.71
2024-12-03,95833.0,3643.86,1.001,2.71,647.12,225.53,1.001,0.42405,1.2,3640.27,0.220033,95649.0,4291.71,24.99,134.21,52.09,3.39,0.537939,6.57,8.79,2.976e-05,0.310164,0.997159,10.03,3.6,3643.09,8.43,1.002,537.81,3826.9
2024-12-07,99974.0,4013.73,1.002,2.42,732.54,237.01,0.999972,0.435694,1.23,4009.61,0.325199,99591.0,4755.65,25.82,136.11,52.66,4.22,0.495023,6.81,9.44,3.085e-05,0.369392,0.999973,10.73,3.96,4012.47,13.82,1.003,619.3,4231.66
2024-12-11,96650.0,3626.59,1.001,2.35,675.42,213.53,0.999005,0.393384,1.017,3628.36,0.269809,96460.0,4320.97,22.23,109.53,44.6,3.71,0.434141,5.93,9.47,2.716e-05,0.2879,0.999276,8.38,4.01,3625.72,13.88,1.002,515.46,3830.15
2024-12-15,101367.0,3867.0,0.999704,2.4,715.45,219.87,0.999741,0.397785,1.06,3861.24,0.28213,100839.0,4586.61,29.05,118.1,49.89,4.46,0.424894,6.24,9.42,2.745e-05,0.294207,0.999914,8.55,3.88,3864.18,24.28,1.001,533.94,4075.16
2024-12-19,100356.0,3628.26,0.998148,2.3,687.66,205.36,0.999528,0.358238,0.968992,3615.46,0.257981,100015.0,4321.35,24.92,108.98,42.83,4.33,0.396536,5.44,9.1,2.405e-05,0.273103,1.001,7.7,3.92,3632.26,23.17,1.0,480.75,3816.26
2024-12-23,95094.0,3275.89,0.99859,2.2,648.57,180.15,0.999596,0.311911,0.882796,3268.25,0.243732,94912.0,3887.82,22.03,99.47,36.52,4.3,0.355808,5.38,9.3,2.147e-05,0.265155,0.999325,6.82,3.7,3274.85,28.22,0.99888,444.83,3455.86
2024-12-27,95678.0,3327.79,0.998823,2.15,687.52,188.14,1.0,0.311922,0.859342,3327.32,0.253226,95561.0,4003.79,22.65,102.1,37.27,4.19,0.353992,5.72,9.13,2.152e-05,0.28469,0.998889,6.93,3.64,3327.38,26.87,0.997867,437.26,3511.39
2024-12-31,92627.0,3359.51,0.998492,2.06,703.11,190.7,1.0,0.313434,0.859131,3355.33,0.252956,92424.0,3982.79,20.57,99.18,35.91,4.17,0.331273,5.58,9.03,2.11e-05,0.277269,1.001,6.69,3.44,3361.29,26.92,0.997472,443.15,3545.96
2025-01-04,98084.0,3604.29,0.9995,2.45,713.05,217.65,0.999436,0.379242,1.09,3601.12,0.269789,97784.0,4289.26,23.36,112.67,41.82,4.96,0.449458,5.79,9.11,2.438e-05,0.312468,0.999584,7.74,3.93,3605.04,24.36,0.99808,472.67,3807.32
2025-01-08,96952.0,3380.02,0.999875,2.28,696.83,202.49,0.99981,0.349004,0.993335,3376.97,0.252839,96874.0,4025.49,21.42,102.92,39.36,4.79,0.418964,5.33,9.0,2.183e-05,0.290479,0.999424,7.03,3.86,3380.1,23.7,0.998964,437.93,3571.88
2025-01-12,94560.0,3283.59,0.999634,2.58,696.73,188.06,0.999998,0.341473,0.996137,3279.42,0.241006,94391.0,3912.75,20.19,104.38,37.13,4.97,0.445529,5.4,9.34,2.221e-05,0.292215,0.999241,6.74,3.89,3284.92,20.85,0.998754,440.79,3472.5
2025-01-16,100313.0,3447.03,1.0,3.17,714.79,205.76,1.0,0.386974,1.084,3445.0,0.23819,100026.0,4095.89,22.14,117.94,39.85,4.85,0.492149,5.52,9.65,2.283e-05,0.327373,0.999835,7.19,3.9,3445.19,24.25,1.001,461.38,3640.08
2025-01-20,101275.0,3208.14,0.998716,2.96,682.35,251.97,1.0,0.357861,0.991783,3209.79,0.2287,101001.0,3859.27,24.41,115.9,35.75,4.5,0.433626,4.85,9.61,2.029e-05,0.326781,1.004,6.24,3.61,3219.72,20.31,0.998734,428.84,3385.73
2025-01-24,104068.0,3332.58,1.0,3.12,689.69,253.5,0.999931,0.35227,0.988034,3330.79,0.25261,103858.0,3951.92,25.61,116.46,35.59,4.32,0.432488,5.13,9.73,2.015e-05,0.327001,0.998345,6.36,3.66,3329.87,22.16,0.999544,437.3,3515.71
2025-01-28,101958.0,3173.53,0.999879,3.05,679.68,234.98,1.0,0.333463,0.933165,3169.26,0.246462,101985.0,3772.91,24.11,114.79,34.17,3.96,0.406782,5.01,9.67,1.894e-05,0.31397,1.001,5.93,4.69,3170.75,23.16,1.001,426.67,3355.96
2025-02-01,102382.0,3296.39,0.999711,3.04,677.11,231.51,0.999998,0.328601,0.942531,3293.75,0.253773,102358.0,3917.99,25.11,128.21,34.4,4.09,0.41434,4.83,9.77,1.887e-05,0.306292,1.003,6.31,5.33,3291.54,26.91,1.001,424.12,3489.23
2025-02-05,98118.0,2740.38,1.0,2.54,573.6,207.42,0.999975,0.264661,0.74697,2732.31,0.224874,97977.0,3232.85,20.09,101.68,26.5,3.62,0.341827,3.8,9.86,1.58e-05,0.251317,1.001,4.75,5.81,2731.2,25.17,0.999912,330.74,2898.44
2025-02-09,96558.0,2635.6,1.0,2.43,614.71,199.71,0.999995,0.253158,0.702178,2630.99,0.231885,96364.0,3144.42,18.47,104.62,24.59,3.08,0.332605,3.74,9.82,1.596e-05,0.234568,0.999807,4.75,5.86,2635.4,23.52,1.0,323.43,2790.91
2025-02-13,97836.0,2736.27,1.0,2.47,698.07,196.6,0.999902,0.264044,0.797975,2738.99,0.243455,97510.0,3268.57,19.17,121.99,26.5,3.59,0.332849,3.82,9.83,1.701e-05,0.23403,1.0,5.23,5.79,2734.92,25.8,1.0,343.09,2899.54
